date,company,ticker,action_type,ratio,action_details
2025-04-10,IQ Cleaner Transport ETF,CLNR,Liquidation,,IQ Cleaner Transport ETF (CLNR) performed a liquidation. Details of the event are still to be determined.
2025-04-10,IQ Clean Oceans ETF,OCEN,Liquidation,,IQ Clean Oceans ETF (OCEN) performed a liquidation. Details of the event are still to be determined.
2025-04-09,Volatility Shares Trust - 2X Ether ETF,ETHU,Consolidation,1 for 20,Volatility Shares Trust - 2X Ether ETF (ETHU) performed a 1 for 20 consolidation. Holders will now hold 1 share of Volatility Shares Trust - 2X Ether ETF (ETHU) for every 20 shares previously held.
2025-04-09,Quoin Pharmaceuticals Ltd,QNRX,Consolidation,1 for 35,Quoin Pharmaceuticals Ltd (QNRX) performed a 1 for 35 consolidation. Holders will now hold 1 share of Quoin Pharmaceuticals Ltd (QNRX) for every 35 shares previously held.
2025-04-09,Tempest Therapeutics Inc,TPST,Consolidation,1 for 13,Tempest Therapeutics Inc (TPST) performed a 1 for 13 consolidation. Holders will now hold 1 share of Tempest Therapeutics Inc (TPST) for every 13 shares previously held.
2025-04-09,Accolade Inc,ACCD,Merger,,Accolade Inc (ACCD) performed merger. Holders will receive 7.03 USD per share previously held.
2025-04-08,Sweet Poison Spirits Inc,SPS,Name Change,1 for 1,Sweet Poison Spirits Inc (SPS) performed a 1 for 1 name change to Hyper Bit Technologies Ltd. (HYPE).
2025-04-08,Peak Minerals Ltd,PEK,Name Change,1 for 1,Peak Minerals Ltd (PEK) performed a 1 for 1 name change to Sranan Gold Corp (SRAN).
2025-04-08,Twin Vee PowerCats Co,VEEE,Consolidation,1 for 10,Twin Vee PowerCats Co (VEEE) performed a 1 for 10 consolidation. Holders will now hold 1 share of Twin Vee PowerCats Co (VEEE) for every 10 shares previously held.
2025-04-08,Purebread Brands Inc,BRED,Consolidation,1 for 5,Purebread Brands Inc. (BRED) performed a 1 for 5 consolidation. Holders will now hold 1 share of Purebread Brands Inc. (BRED) for every 5 shares previously held.
2025-04-07,Glenstar Ventures Inc,GSTR,Name Change,1 for 1,Glenstar Ventures Inc. (GSTR) performed a 1 for 1 name change to Glenstar Minerals Inc. (GSTR).
2025-04-07,Treasure Global Inc,TGL,Consolidation,1 for 50,Treasure Global Inc (TGL) performed a 1 for 50 consolidation. Holders will now hold 1 share of Treasure Global Inc (TGL) for every 50 shares previously held.
2025-04-07,Dolly Varden Silver Corp,DV,Consolidation,1 for 4,Dolly Varden Silver Corp (DV) performed a 1 for 4 consolidation. Holders will now hold 1 share of Dolly Varden Silver Corp (DV) for every 4 shares previously held.
2025-04-07,Linkage Global Inc,LGCB,Consolidation,1 for 10,Linkage Global Inc. (LGCB) performed a 1 for 10 consolidation. Holders will now hold 1 share of Linkage Global Inc. (LGCB) for every 10 shares previously held.
2025-04-07,Newegg Commerce Inc,NEGG,Consolidation,1 for 20,Newegg Commerce Inc. (NEGG) performed a 1 for 20 consolidation. Holders will now hold 1 share of Newegg Commerce Inc. (NEGG) for every 20 shares previously held.
2025-04-07,BioNexus Gene Lab Coporation,BGLC,Consolidation,1 for 10,BioNexus Gene Lab Coporation (BGLC) performed a 1 for 10 consolidation. Holders will now hold 1 share of BioNexus Gene Lab Coporation (BGLC) for every 10 shares previously held.
2025-04-07,Simpple Limited,SPPL,Consolidation,1 for 8,Simpple Limited (SPPL) performed a 1 for 8 consolidation. Holders will now hold 1 share of Simpple Limited (SPPL) for every 8 shares previously held.
2025-04-07,Hank Payments Corp,HANK,Consolidation,1 for 5.75,Hank Payments Corp (HANK) performed a 1 for 5.75 consolidation. Holders will now hold 1 share of Hank Payments Corp (HANK) for every 5.75 shares previously held.
2025-04-07,Logility Supply Chain Solutions Inc,LGTY,Merger,,Logility Supply Chain Solutions Inc. (LGTY) performed merger. Holders will receive 14.3 USD per share previously held.
2025-04-07,CI Bio-Revolution ETF,CDNA,Merger,,CI Bio-Revolution ETF (CDNA) performed merger. Details of the event are still to be determined.
2025-04-07,CI First Asset Fund Corp - CI Short Term Government Bond Index Class ETF,FGB,Merger,,CI First Asset Fund Corp - CI Short Term Government Bond Index Class ETF (FGB) performed merger. Details of the event are still to be determined.
2025-04-07,CI Galaxy Metaverse ETF,CMVX,Merger,,CI Galaxy Metaverse ETF (CMVX) performed merger. Details of the event are still to be determined.
2025-04-07,Investment Managers Series Trust Ii - Axs Change Finance ESG ETF,CHGX,Merger,,Investment Managers Series Trust Ii - Axs Change Finance ESG ETF (CHGX) performed merger. Details of the event are still to be determined.
2025-04-04,AlphaGen Intelligence Corp,AIC,Consolidation,1 for 20,AlphaGen Intelligence Corp (AIC) performed a 1 for 20 consolidation. Holders will now hold 1 share of AlphaGen Intelligence Corp (AIC) for every 20 shares previously held.
2025-04-04,Eguana Technologies Inc,EGT,Consolidation,1 for 10,Eguana Technologies Inc (EGT) performed a 1 for 10 consolidation. Holders will now hold 1 share of Eguana Technologies Inc (EGT) for every 10 shares previously held.
2025-04-04,C3is Inc,CISS,Consolidation,1 for 6,C3is Inc. (CISS) performed a 1 for 6 consolidation. Holders will now hold 1 share of C3is Inc. (CISS) for every 6 shares previously held.
2025-04-04,SOBR Safe Inc,SOBR,Consolidation,1 for 10,SOBR Safe Inc. (SOBR) performed a 1 for 10 consolidation. Holders will now hold 1 share of SOBR Safe Inc. (SOBR) for every 10 shares previously held.
2025-04-04,AEHL-Antelope Enterprise Holdings Ltd,AEHL,Consolidation,1 for 40,AEHL-Antelope Enterprise Holdings Ltd (Class A) (AEHL) performed a 1 for 40 consolidation. Holders will now hold 1 share of AEHL-Antelope Enterprise Holdings Ltd (Class A) (AEHL) for every 40 shares previously held.
2025-04-04,CE Brands Inc,CEBI,Name Change,1 for 1,CE Brands Inc. (CEBI) performed a 1 for 1 name change to Vitalist Inc. (VITA).
2025-04-04,Future FinTech Group Inc,FTFT,Consolidation,1 for 10,Future FinTech Group Inc (FTFT) performed a 1 for 10 consolidation. Holders will now hold 1 share of Future FinTech Group Inc (FTFT) for every 10 shares previously held.
2025-04-04,First American Uranium Inc,URM,Consolidation,1 for 3,First American Uranium Inc. (URM) performed a 1 for 3 consolidation. Holders will now hold 1 share of First American Uranium Inc. (URM) for every 3 shares previously held.
2025-04-03,Marketwise Inc,MKTW,Consolidation,1 for 20,Marketwise Inc (Class A) (MKTW) performed a 1 for 20 consolidation. Holders will now hold 1 share of Marketwise Inc (Class A) (MKTW) for every 20 shares previously held.
2025-04-03,Vci Global Limited,VCIG,Consolidation,1 for 20,Vci Global Limited (VCIG) performed a 1 for 20 consolidation. Holders will now hold 1 share of Vci Global Limited (VCIG) for every 20 shares previously held.
2025-04-03,Free Battery Metal Limited,FREE,Consolidation,1 for 20,Free Battery Metal Limited (FREE) performed a 1 for 20 consolidation. Holders will now hold 1 share of Free Battery Metal Limited (FREE) for every 20 shares previously held.
2025-04-03,Wimi Hologram Cloud Inc - ADR,WIMI,Merger,,Wimi Hologram Cloud Inc - ADR (WIMI) performed merger. Holders will receive 2 share of WiMi Hologram Cloud Inc. (WIMI) for each share previously held.
2025-04-03,Nevro Corporation,NVRO,Merger,,Nevro Corporation (NVRO) performed merger. Holders will receive 5.85 USD per share previously held.
2025-04-03,Intra-Cellular Therapies Inc,ITCI,Merger,,Intra-Cellular Therapies Inc. (ITCI) performed merger. Holders will receive 132 USD per share previously held.
2025-04-03,Territorial Bancorp Inc,TBNK,Merger,,Territorial Bancorp Inc. (TBNK) performed merger. Holders will receive 0.804800 share of Hope Bancorp Inc (HOPE) for each share previously held.
2025-04-02,Middlefield Sustainable Global Dividend ETF,MDIV,Dividend,1 for 1,Middlefield Sustainable Global Dividend ETF (MDIV) performed a 1 for 1 name change to Middlefield Global Dividend Growers ETF (MDIV).
2025-04-02,Middlefield Sustainable Infrastructure Dividend ETF - ETF,MINF,Dividend,1 for 1,Middlefield Sustainable Infrastructure Dividend ETF - ETF (MINF) performed a 1 for 1 name change to Middlefield Global Infrastructure Dividend ETF (MINF).
2025-04-02,Euro Manganese Inc,EMN,Consolidation,1 for 5,Euro Manganese Inc (EMN) performed a 1 for 5 consolidation. Holders will now hold 1 share of Euro Manganese Inc (EMN) for every 5 shares previously held.
2025-04-02,VOXX International Corp,VOXX,Merger,,VOXX International Corp (VOXX) performed merger. Holders will receive 7.50 USD per share previously held.
2025-04-02,Pactiv Evergreen Inc,PTVE,Merger,,Pactiv Evergreen Inc (PTVE) performed merger. Holders will receive 18.00 USD per share previously held.
2025-04-02,OrganiGram Holdings Inc,OGI,Name Change,1 for 1,OrganiGram Holdings Inc. (OGI) performed a 1 for 1 name change to Organigram Global Inc. (OGI).
2025-04-02,Norden Crown Metals Corporation,NOCR,Name Change,1 for 1,Norden Crown Metals Corporation (NOCR) performed a 1 for 1 name change to Domestic Metals Corp (DMCU).
2025-04-02,Desktop Metal Inc,DM,Merger,,Desktop Metal Inc (Class A) (DM) performed merger. Details of the event are still to be determined.
2025-04-01,Meiwu Technology Company Ltd,WNW,Consolidation,1 for 20,Meiwu Technology Company Ltd (WNW) performed a 1 for 20 consolidation. Holders will now hold 1 share of Meiwu Technology Company Ltd (WNW) for every 20 shares previously held.
2025-04-01,Resource Centrix Holdings Inc,RECE,Stock Split,10 for 1,Resource Centrix Holdings Inc. (RECE) performed a 10 for 1 stock split. Holders will now hold 10 shares of Sezzle Inc. (SEZL) per 1 old shares previously held.
2025-04-01,Vortex Energy Corp,VRTX,Consolidation,1 for 10,Vortex Energy Corp (VRTX) performed a 1 for 10 consolidation. Holders will now hold 1 share of Vortex Energy Corp (VRTX) for every 10 shares previously held.
2025-04-01,Alps ETF Trust - Equal Sec ETF,EQL,Stock Split,3 for 1,Alps ETF Trust - Equal Sec ETF (EQL) performed a 3 for 1 stock split. Holders will now hold 3 shares of Alps ETF Trust - Equal Sec ETF (EQL) per 1 old shares previously held.
2025-04-01,Icon Energy Corp,ICON,Consolidation,1 for 40,Icon Energy Corp. (ICON) performed a 1 for 40 consolidation. Holders will now hold 1 share of Icon Energy Corp. (ICON) for every 40 shares previously held.
2025-04-01,Discovery Lithium Inc,DCLI,Name Change,1 for 1,Discovery Lithium Inc. (DCLI) performed a 1 for 1 name change to Discovery Energy Metals Corp. (DEMC).
2025-04-01,First Bancshares,FBMS,Merger,,First Bancshares (FBMS) performed merger. Holders will receive 1 share of Renasant Corp. (RNST) for each share previously held.
2025-04-01,Sandy Spring Bancorp,SASR,Merger,,Sandy Spring Bancorp (SASR) performed merger. Holders will receive 0.90 shares of Atlantic Union Bankshares Corp (AUB) for each share previously held.
2025-04-01,InterActiveCorp- New,IAC,Spinoff,,"InterActiveCorp- New (IAC) performed a spinoff. Holders will receive 0.5251 shares of Angi Inc. (ANGI) per 1 share of IAC held as of record date April 1, 2025."
2025-04-01,Village Bank and Trust Financial Corporation,VBFC,Merger,,Village Bank and Trust Financial Corporation (VBFC) performed merger. Holders will receive 80.25 USD per share previously held.
2025-04-01,"Intevac, Inc",IVAC,Merger,,"Intevac, Inc. (IVAC) performed merger. Holders will receive 4.00 USD per share previously held."
2025-03-31,Sezzle Inc,SEZL,Stock Split,6 for 1,Sezzle Inc. (SEZL) performed a 6 for 1 stock split. Holders will now hold 6 shares of Sezzle Inc. (SEZL) per 1 old shares previously held.
2025-03-31,American Rebel Holdings Inc,AREB,Consolidation,1 for 25,American Rebel Holdings Inc. (AREB) performed a 1 for 25 consolidation. Holders will now hold 1 share of American Rebel Holdings Inc. (AREB) for every 25 shares previously held.
2025-03-31,Vision Marine Technologies Inc,VMAR,Consolidation,1 for 10,Vision Marine Technologies Inc (VMAR) performed a 1 for 10 consolidation. Holders will now hold 1 share of Vision Marine Technologies Inc (VMAR) for every 10 shares previously held.
2025-03-31,Auddia Inc,AUUD,Consolidation,1 for 17,Auddia Inc (AUUD) performed a 1 for 17 consolidation. Holders will now hold 1 share of Auddia Inc (AUUD) for every 17 shares previously held.
2025-03-31,UTime Limited,WTO,Consolidation,1 for 10,UTime Limited (WTO) performed a 1 for 10 consolidation. Holders will now hold 1 share of UTime Limited (WTO) for every 10 shares previously held.
2025-03-31,Nxu Inc,NXU,Consolidation,1 for 20,Nxu Inc (Class A) (NXU) performed a 1 for 20 consolidation. Holders will now hold 1 share of Nxu Inc (Class A) (NXU) for every 20 shares previously held.
2025-03-31,Hub Cyber Security Limited,HUBC,Consolidation,1 for 10,Hub Cyber Security Limited (HUBC) performed a 1 for 10 consolidation. Holders will now hold 1 share of Hub Cyber Security Limited (HUBC) for every 10 shares previously held.
2025-03-31,Silver Mountain Resources Inc,AGMR,Consolidation,1 for 15,Silver Mountain Resources Inc. (AGMR) performed a 1 for 15 consolidation. Holders will now hold 1 share of Silver Mountain Resources Inc. (AGMR) for every 15 shares previously held.
2025-03-31,Li-Metal Corp,LIM,Name Change,1 for 1,Li-Metal Corp (LIM) performed a 1 for 1 name change to Skycap Investment Holdings Inc. (SKY)
2025-03-28,Aclarion Inc,ACON,Consolidation,1 for 27,Aclarion Inc. (ACON) performed a 1 for 27 consolidation. Holders will now hold 1 share of Aclarion Inc. (ACON) for every 27 shares previously held.
2025-03-28,Kingsview Minerals Ltd,KVM,Consolidation,1 for 10,Kingsview Minerals Ltd (KVM) performed a 1 for 10 consolidation. Holders will now hold 1 share of Kingsview Minerals Ltd (KVM) for every 10 shares previously held.
2025-03-28,Splash Beverage Group Inc,SBEV,Consolidation,1 for 40,Splash Beverage Group Inc (SBEV) performed a 1 for 40 consolidation. Holders will now hold 1 share of Splash Beverage Group Inc (SBEV) for every 40 shares previously held.
2025-03-28,EA Series Trust - Ark 21Shares Active On-chain Bitcoin Strategy ETF,ARKC,Liquidation,,EA Series Trust - Ark 21Shares Active On-chain Bitcoin Strategy ETF (ARKC) performed a liquidation. Holders will receive 33.91665283 USD per share.
2025-03-28,EA Series Trust - Ark 21Shares Active Bitcoin Ethereum Strategy ETF,ARKY,Liquidation,,EA Series Trust - Ark 21Shares Active Bitcoin Ethereum Strategy ETF (ARKY) performed a liquidation. Holders will receive 29.2852935 USD per share.
2025-03-28,Exchange Traded Concepts Trust - Vspr U.S. Lc ETF,UTRN,Liquidation,,Exchange Traded Concepts Trust - Vspr U.S. Lc ETF (UTRN) performed a liquidation. Holders will receive 29.296941 USD per share.
2025-03-28,Guardpath Managed Decumulation 2042 Fund,GPMD,Redemption,,Guardpath Managed Decumulation 2042 Fund (GPMD) has performed a mandatory redemption. Holders will receive 10.18942 CAD per unit.
2025-03-27,Wheeler Real Estate Investment Trust Inc,WHLR,Consolidation,1 for 5,Wheeler Real Estate Investment Trust Inc. (WHLR) performed a 1 for 5 consolidation. Holders will now hold 1 share of Wheeler Real Estate Investment Trust Inc. (WHLR) for every 5 shares previously held.
2025-03-27,Cranstown Capital Corp,CRAN.P,Name Change,1 for 1,Cranstown Capital Corp (CRAN.P) performed a 1 for 1 name change to J2 METALS INC. (JTWO).
2025-03-27,VERSES AI Inc,VERS,Consolidation,1 for 9,VERSES AI Inc (Class A) (VERS) performed a 1 for 9 consolidation. Holders will now hold 1 share of VERSES AI Inc (Class A) (VERS) for every 9 shares previously held.
2025-03-27,Delta Cleantech Inc,DELT,Name Change,1 for 1,Delta Cleantech Inc (DELT) performed a 1 for 1 name change to Regenera Insights Inc. (RGEN).
2025-03-27,Cyclo Therapeutics Inc,CYTH,Merger,,"Cyclo Therapeutics Inc (Class A) (CYTH) performed merger. Holders will receive 0.3525 shares of Rafael Holdings, Inc. (RFL) for each share previously held."
2025-03-27,Altair Engineering Inc,ALTR,Merger,,Altair Engineering Inc. (Class A) (ALTR) performed merger. Holders will receive 113 USD per share.
2025-03-27,Ninepoint Carbon Credit ETF,CBON,Redemption,,Ninepoint Carbon Credit ETF (CBON) has performed a mandatory redemption. Details of the event are still to be determined.
2025-03-27,Ninepoint Carbon Credit ETF,CBON.U,Redemption,,Ninepoint Carbon Credit ETF (CBON.U) has performed a mandatory redemption. Details of the event are still to be determined.
2025-03-26,Big Red Mining Corp,RED,Name Change,1 for 1,Big Red Mining Corp (RED) performed a 1 for 1 name change to Antimony Resources Corp. (ATMY).
2025-03-26,Carson River Ventures Corp,CRIV,Consolidation,1 for 2,Carson River Ventures Corp (CRIV) performed a 1 for 2 consolidation. Holders will now hold 1 share of Carson River Ventures Corp (CRIV) for every 2 shares previously held.
2025-03-26,Lion Group Holding Limited,LGHL,Consolidation,1 for 50,Lion Group Holding Limited (LGHL) performed a 1 for 50 consolidation. Holders will now hold 1 share of Lion Group Holding Limited (LGHL) for every 50 shares previously held.
2025-03-26,Graphex Group Limited,GRFX,Consolidation,1 for 5,Graphex Group Limited (GRFX) performed a 1 for 5 consolidation. Holders will now hold 1 share of Graphex Group Limited (GRFX) for every 5 shares previously held.
2025-03-25,CMC Metals Ltd,CMB,Consolidation,1 for 10,CMC Metals Ltd. (CMB) performed a name change and a 1 for 10 consolidation. Holders will now hold 1 share of Walker Lane Resources Limited (WLR) for every 10 shares previously held.
2025-03-25,Xcel Brands Inc,XELB,Consolidation,1 for 10,Xcel Brands Inc. (XELB) performed a 1 for 10 consolidation. Holders will now hold 1 share of Xcel Brands Inc. (XELB) for every 10 shares previously held.
2025-03-25,U.S. Critical Metals Corp,USCM,Consolidation,1 for 2.5,U.S. Critical Metals Corp (USCM) performed a 1 for 2.5 consolidation. Holders will now hold 1 share of U.S. Critical Metals Corp (USCM) for every 2.5 shares previously held.
2025-03-24,Universe Pharmaceuticals Inc,UPC,Consolidation,1 for 40,Universe Pharmaceuticals Inc. (UPC) performed a 1 for 40 consolidation. Holders will now hold 1 share of Universe Pharmaceuticals Inc. (UPC) for every 40 shares previously held.
2025-03-24,Northern Lights Acquisition Corporation,SHFS,Consolidation,1 for 20,Northern Lights Acquisition Corporation (SHFS) performed a 1 for 20 consolidation. Holders will now hold 1 share of Northern Lights Acquisition Corporation (SHFS) for every 20 shares previously held.
2025-03-24,Jaguar Health Inc,JAGX,Consolidation,1 for 25,Jaguar Health Inc. (JAGX) performed a 1 for 25 consolidation. Holders will now hold 1 share of Jaguar Health Inc. (JAGX) for every 25 shares previously held.
2025-03-24,Zoomcar Holdings Inc,ZCAR,Consolidation,1 for 20,Zoomcar Holdings Inc. (ZCAR) performed a 1 for 20 consolidation. Holders will now hold 1 share of Zoomcar Holdings Inc. (ZCAR) for every 20 shares previously held.
2025-03-24,IsoEnergy Ltd,ISO,Consolidation,1 for 4,IsoEnergy Ltd. (ISO) performed a 1 for 4 consolidation. Holders will now hold 1 share of IsoEnergy Ltd. (ISO) for every 4 shares previously held.
2025-03-24,Angi Inc,ANGI,Consolidation,1 for 10,Angi Inc (Class A) (ANGI) performed a 1 for 10 consolidation. Holders will now hold 1 share of Angi Inc (Class A) (ANGI) for every 10 shares previously held.
2025-03-24,StoneX Group Inc,SNEX,Stock Split,3 for 2,StoneX Group Inc. (SNEX) performed a 3 for 2 stock split. Holders will now hold 3 shares of StoneX Group Inc. (SNEX) per 2 old shares previously held.
2025-03-24,Bc Bud Corp,BCBC,Name Change,1 for 1,Bc Bud Corp (BCBC) performed a 1 for 1 name change to Digital Commodities Capital Corp. (RIPP).
2025-03-24,Nirvana Life Sciences Inc,NIRV,Consolidation,1 for 10,Nirvana Life Sciences Inc. (NIRV) performed a 1 for 10 consolidation. Holders will now hold 1 share of Nirvana Life Sciences Inc. (NIRV) for every 10 shares previously held.
2025-03-24,Endeavor Group Holdings Inc,EDR,Merger,,Endeavor Group Holdings Inc (Class A) (EDR) performed merger. Holders will receive 27.50 USD per share.
2025-03-24,BlackRock Enhanced Government Fund Inc,EGF,Merger,,BlackRock Enhanced Government Fund Inc (EGF) performed merger. Holders will receive 0.84020511 shares of BlackRock Income Trust Inc (BKT) per share.
2025-03-21,Organovo Holdings Inc,ONVO,Consolidation,1 for 12,Organovo Holdings Inc (ONVO) performed a 1 for 12 consolidation. Holders will now hold 1 share of Organovo Holdings Inc (ONVO) for every 12 shares previously held.
2025-03-21,TGX Energy & Resources Inc,TGX,Consolidation,1 for 3,TGX Energy & Resources Inc. (TGX) performed a 1 for 3 consolidation. Holders will now hold 1 share of TGX Energy & Resources Inc. (TGX) for every 3 shares previously held.
2025-03-21,Virpax Pharmaceuticals Inc,VRPX,Consolidation,1 for 25,Virpax Pharmaceuticals Inc (VRPX) performed a 1 for 25 consolidation. Holders will now hold 1 share of Virpax Pharmaceuticals Inc (VRPX) for every 25 shares previously held.
2025-03-21,Critical Reagents Processing Corp,CRPC,Consolidation,1 for 10,Critical Reagents Processing Corp (CRPC) performed a 1 for 10 consolidation. Holders will now hold 1 share of Critical Reagents Processing Corp (CRPC) for every 10 shares previously held.
2025-03-21,Luxxfolio Holdings Inc,LUXX,Consolidation,1 for 10,Luxxfolio Holdings Inc (LUXX) performed a 1 for 10 consolidation. Holders will now hold 1 share of Luxxfolio Holdings Inc (LUXX) for every 10 shares previously held.
2025-03-21,O3 Mining Inc,OIII,Merger,,O3 Mining Inc (OIII) performed merger. Holders will receive 1.67 CAD cash per share.
2025-03-20,Outset Medical Inc,OM,Consolidation,1 for 15,Outset Medical Inc. (OM) performed a 1 for 15 consolidation. Holders will now hold 1 share of Outset Medical Inc. (OM) for every 15 shares previously held.
2025-03-20,Exchange Traded Concepts Trust - Optica Rare Earths & Critical Materials ETF,CRIT,Liquidation,,Exchange Traded Concepts Trust - Optica Rare Earths & Critical Materials ETF (CRIT) performed a liquidation. Details of the event are still to be determined.
2025-03-19,Superbuzz Inc,SPZ,Consolidation,1 for 4,Superbuzz Inc (SPZ) performed a 1 for 4 consolidation. Holders will now hold 1 share of Superbuzz Inc (SPZ) for every 4 shares previously held.
2025-03-19,Forstrong Global Ex-North America Equity ETF - ETF,FINE,Redemption,,Forstrong Global Ex-North America Equity ETF - ETF (FINE) has performed a mandatory redemption. Holders will receive 23.3578 CAD per unit.
2025-03-19,Global X Carbon Credits ETF,CARB,Redemption,,Global X Carbon Credits ETF (CARB) has performed a mandatory redemption. Holders will receive 7.11651356 CAD per unit.
2025-03-19,Global X ReSolve Adaptive Asset Allocation Corporate Class ETF,HRAA,Redemption,,Global X ReSolve Adaptive Asset Allocation Corporate Class ETF (HRAA) has performed a mandatory redemption. Holders will receive 2.16144649 CAD per unit.
2025-03-19,Global X S&P Green Bond Index ETF,HGGB,Redemption,,Global X S&P Green Bond Index ETF (HGGB) has performed a mandatory redemption. Holders will receive 21.64534437 CAD per unit.
2025-03-19,Global X Metaverse Index ETF,MTAV,Redemption,,Global X Metaverse Index ETF (MTAV) has performed a mandatory redemption. Holders will receive 29.70729839 CAD per unit.
2025-03-19,Itau Unibanco Holdings S.A.,ITUB,Dividend,,"Itau Unibanco Holdings S.A. (ITUB) performed a stock dividend. Holders will receive 0.10 additional shares of Itau Unibanco Holdings S.A. (ITUB) per share held as of record date of March 19, 2025."
2025-03-18,Worksport Ltd,WKSP,Consolidation,1 for 10,Worksport Ltd (WKSP) performed a 1 for 10 consolidation. Holders will now hold 1 share of Worksport Ltd (WKSP) for every 10 shares previously held.
2025-03-18,Hepion Pharmaceuticals Inc,HEPA,Consolidation,1 for 50,Hepion Pharmaceuticals Inc. (HEPA) performed a 1 for 50 consolidation. Holders will now hold 1 share of Hepion Pharmaceuticals Inc. (HEPA) for every 50 shares previously held.
2025-03-18,Urgently Inc,ULY,Consolidation,1 for 12,Urgently Inc. (ULY) performed a 1 for 12 consolidation. Holders will now hold 1 share of Urgently Inc. (ULY) for every 12 shares previously held.
2025-03-18,NAYA Biosciences Inc,NAYA,Consolidation,1 for 12,NAYA Biosciences Inc. (NAYA) performed a 1 for 12 consolidation. Holders will now hold 1 share of NAYA Biosciences Inc. (NAYA) for every 12 shares previously held.
2025-03-18,Euroseas Ltd,ESEA,Spinoff,,"Euroseas Ltd (ESEA) performed a spinoff. Holders will receive 0.4 shares of Euroholdings Limited (EHLD) per 1 Euroseas Ltd share held as of March 18, 2025."
2025-03-17,Sacks Parente Golf Inc,SPGC,Consolidation,1 for 30,Sacks Parente Golf Inc. (SPGC) performed a 1 for 30 consolidation. Holders will now hold 1 share of Sacks Parente Golf Inc. (SPGC) for every 30 shares previously held.
2025-03-17,Aditxt Inc,ADTX,Consolidation,1 for 250,Aditxt Inc. (ADTX) performed a 1 for 250 consolidation. Holders will now hold 1 share of Aditxt Inc. (ADTX) for every 250 shares previously held.
2025-03-17,Farmmi Inc,FAMI,Consolidation,1 for 12,Farmmi Inc. (FAMI) performed a 1 for 12 consolidation. Holders will now hold 1 share of Farmmi Inc. (FAMI) for every 12 shares previously held.
2025-03-17,Workhorse Group Inc,WKHS,Consolidation,1 for 12.5,Workhorse Group Inc (WKHS) performed a 1 for 12.5 consolidation. Holders will now hold 1 share of Workhorse Group Inc (WKHSI) for every 12.5 shares previously held.
2025-03-17,Blue Hat Interactive Entertainment Technology,BHAT,Consolidation,1 for 100,Blue Hat Interactive Entertainment Technology (BHAT) performed a 1 for 100 consolidation. Holders will now hold 1 share of Blue Hat Interactive Entertainment Technology (BHAT) for every 100 shares previously held.
2025-03-17,Gold Bull Resources Corp,GBRC,Other,,Gold Bull Resources Corp (GBRC) performed a plan of arrangement. Holders will receive 0.93 shares of Borealis Mining Company Limited (BOGO) per shares previously held.
2025-03-17,Durango Resources Inc,DGO,Name Change,1 for 1,Durango Resources Inc (DGO) performed a 1 for 1 name change to Quantum Critical Metals Corp. (LEAP).
2025-03-17,SAIHEAT Limited,SAIH,Consolidation,1 for 15,SAIHEAT Limited (SAIH) performed a 1 for 15 consolidation. Holders will now hold 1 share of SAIHEAT Limited (SAIH) for every 15 shares previously held.
2025-03-17,Stronghold Digital Mining Inc,SDIG,Merger,,Stronghold Digital Mining Inc. (SDIG) performed merger. Holders will receive 2.52 shares of Bitfarms Ltd. (BITF) per share.
2025-03-17,Softchoice Corporation.,SFTC,Other,,Softchoice Corporation. (SFTC) performed a plan of arrangement. Holders will receive 24.50 CAD cash per share.
2025-03-14,NanoVibronix Inc,NAOV,Consolidation,1 for 11,NanoVibronix Inc. (NAOV) performed a 1 for 11 consolidation. Holders will now hold 1 share of NanoVibronix Inc. (NAOV) for every 11 shares previously held.
2025-03-14,Blue Moon Metals Inc,MOON,Consolidation,1 for 10,Blue Moon Metals Inc. (MOON) performed a 1 for 10 consolidation. Holders will now hold 1 share of Blue Moon Metals Inc. (MOON) for every 10 shares previously held.
2025-03-14,Applied DNA Sciences Inc,APDN,Consolidation,1 for 50,Applied DNA Sciences Inc. (APDN) performed a 1 for 50 consolidation. Holders will now hold 1 share of Applied DNA Sciences Inc. (APDN) for every 50 shares previously held.
2025-03-14,Tinley Beverage Co Inc,TN,Name Change,1 for 1,Tinley Beverage Co Inc (TN) performed a 1 for 1 name change to Beckett's Inc. (BKTS).
2025-03-14,Odessa Capital Limited,ALFA.P,Other,,Odessa Capital Limited (ALFA.P) performed a plan of arrangement. Holders will receive 1 new share of Margaux Real Estate Investment Trust (ALFA.UN) per 12 shares previously held.
2025-03-13,Professional Diversity Network Inc,IPDN,Consolidation,1 for 10,Professional Diversity Network Inc. (IPDN) performed a 1 for 10 consolidation. Holders will now hold 1 share of Professional Diversity Network Inc. (IPDN) for every 10 shares previously held.
2025-03-13,Juggernaut Exploration Ltd,JUGR,Consolidation,1 for 10,Juggernaut Exploration Ltd (JUGR) performed a 1 for 10 consolidation. Holders will now hold 1 share of Juggernaut Exploration Ltd (JUGR) for every 10 shares previously held.
2025-03-13,Sbd Capital Corp,SBD,Consolidation,1 for 10,Sbd Capital Corp (SBD) performed a 1 for 10 consolidation. Holders will now hold 1 share of Sbd Capital Corp (SBD) for every 10 shares previously held.
2025-03-13,Kuke Music Holding Ltd - ADR,KUKE,Consolidation,1 for 10,Kuke Music Holding Ltd - ADR (KUKE) performed a 1 for 10 consolidation. Holders will now hold 1 share of Kuke Music Holding Ltd - ADR (KUKE) for every 10 shares previously held.
